id,key,value,type
30633633,source,PGS,regular
30633658,source,PGS,regular
30633660,source,PGS,regular
30633665,source,PGS,regular
30633666,source,PGS,regular
30633670,source,PGS,regular
30633674,source,PGS,regular
30633679,source,PGS,regular
30633683,source,PGS,regular
30633686,source,PGS,regular
30633702,source,PGS,regular
30633710,source,PGS,regular
30633721,source,PGS,regular
30633724,source,PGS,regular
30633733,source,PGS,regular
30633741,source,PGS,regular
30633755,source,PGS,regular
30633757,source,PGS,regular
30633758,source,PGS,regular
30633782,source,PGS,regular
30633829,source,PGS,regular
30633836,source,PGS,regular
30633887,source,PGS,regular
30633888,source,PGS,regular
30633891,source,PGS,regular
30633900,source,PGS,regular
30633907,source,PGS,regular
30633912,source,PGS,regular
30633914,source,PGS,regular
30633919,source,PGS,regular
30633920,source,PGS,regular
30633925,source,PGS,regular
30633933,source,PGS,regular
30633952,source,PGS,regular
30633955,source,PGS,regular
30633960,source,PGS,regular
30633961,source,PGS,regular
30633969,source,PGS,regular
30633971,source,PGS,regular
30633975,source,PGS,regular
30633985,source,PGS,regular
30633988,source,PGS,regular
30633989,source,PGS,regular
30633991,source,PGS,regular
30633994,source,PGS,regular
30634001,source,PGS,regular
30634006,source,PGS,regular
30634023,source,PGS,regular
30634025,source,PGS,regular
30634030,source,PGS,regular
30634031,source,PGS,regular
30634032,source,PGS,regular
30634034,source,PGS,regular
30634039,source,PGS,regular
30634056,source,PGS,regular
30634062,source,PGS,regular
30634064,source,PGS,regular
30634067,source,PGS,regular
30634069,source,PGS,regular
30634075,source,PGS,regular
30634077,source,PGS,regular
30634080,source,PGS,regular
30634081,source,PGS,regular
30634083,source,PGS,regular
30634088,source,PGS,regular
30634100,source,PGS,regular
30634102,source,PGS,regular
30634106,source,PGS,regular
30634131,source,PGS,regular
30634136,source,PGS,regular
30634145,source,PGS,regular
30634146,source,PGS,regular
30634168,source,PGS,regular
30634170,source,PGS,regular
30634174,source,PGS,regular
30634177,source,PGS,regular
30634178,source,PGS,regular
30634179,source,PGS,regular
30634184,source,PGS,regular
30634185,source,PGS,regular
30634189,source,PGS,regular
30634202,source,PGS,regular
30634210,source,PGS,regular
30634211,source,PGS,regular
30634215,source,PGS,regular
30634222,source,PGS,regular
30634228,source,PGS,regular
30634235,source,PGS,regular
30634241,source,PGS,regular
30634249,source,PGS,regular
30634251,source,PGS,regular
30634255,source,PGS,regular
30634259,source,PGS,regular
30634263,source,PGS,regular
30634270,source,PGS,regular
30634276,source,PGS,regular
30634281,source,PGS,regular
30634282,source,PGS,regular
30634305,source,PGS,regular
30634307,source,PGS,regular
30634325,source,PGS,regular
30634347,source,PGS,regular
30634357,source,PGS,regular
30634370,source,PGS,regular
30634393,source,PGS,regular
30634414,source,PGS,regular
30634417,source,PGS,regular
30634420,source,PGS,regular
30634433,source,PGS,regular
30634442,source,PGS,regular
30634454,source,PGS,regular
30634493,source,PGS,regular
30634503,source,PGS,regular
30634509,source,PGS,regular
30634511,source,PGS,regular
30634514,source,PGS,regular
30634538,source,PGS,regular
30634543,source,PGS,regular
30634546,source,PGS,regular
30634554,source,PGS,regular
30634556,source,PGS,regular
30634572,source,PGS,regular
30634609,source,PGS,regular
30634622,source,PGS,regular
30634629,source,PGS,regular
30634644,source,PGS,regular
30634650,source,PGS,regular
30634658,source,PGS,regular
30634661,source,PGS,regular
30634667,source,PGS,regular
30634671,source,PGS,regular
30634673,source,PGS,regular
30634675,source,PGS,regular
30634687,source,PGS,regular
30634689,source,PGS,regular
30634698,source,PGS,regular
30634702,source,PGS,regular
30634705,source,PGS,regular
30634706,source,PGS,regular
30634711,source,PGS,regular
30634715,source,PGS,regular
30634719,source,PGS,regular
30634726,source,PGS,regular
30634728,source,PGS,regular
30634731,source,PGS,regular
30634735,source,PGS,regular
30634739,source,PGS,regular
30634749,source,PGS,regular
30634756,source,PGS,regular
30634757,source,PGS,regular
30634762,source,PGS,regular
30634765,source,PGS,regular
30634769,source,PGS,regular
30634775,source,PGS,regular
30634780,source,PGS,regular
30634787,source,PGS,regular
30634789,source,PGS,regular
30634791,source,PGS,regular
30634796,source,PGS,regular
30634799,source,PGS,regular
30634805,source,PGS,regular
30634807,source,PGS,regular
30634814,source,PGS,regular
30634816,source,PGS,regular
30634817,source,PGS,regular
30634825,source,PGS,regular
30634829,source,PGS,regular
30634836,source,PGS,regular
30634837,source,PGS,regular
30634839,source,PGS,regular
30634849,source,PGS,regular
30634854,source,PGS,regular
30634855,source,PGS,regular
30634858,source,PGS,regular
30634870,source,PGS,regular
30634874,source,PGS,regular
30634884,source,PGS,regular
30634889,source,PGS,regular
30634901,source,PGS,regular
30634904,source,PGS,regular
30634906,source,PGS,regular
30634908,source,PGS,regular
30634912,source,PGS,regular
30634928,source,PGS,regular
30634930,source,PGS,regular
30634931,source,PGS,regular
30634936,source,PGS,regular
30635038,source,PGS,regular
30635144,source,PGS,regular
30635165,source,PGS,regular
30635169,source,PGS,regular
30635183,source,PGS,regular
30635212,source,PGS,regular
30635256,source,PGS,regular
30635260,source,PGS,regular
30635285,source,PGS,regular
30635291,source,PGS,regular
30635305,source,PGS,regular
30635308,source,PGS,regular
30635317,source,PGS,regular
30635323,source,PGS,regular
30635325,source,PGS,regular
30635328,source,PGS,regular
30635331,source,PGS,regular
30635335,source,PGS,regular
30635403,source,PGS,regular
30635460,source,PGS,regular
30635467,source,PGS,regular
30635502,source,PGS,regular
30635503,source,PGS,regular
30635506,source,PGS,regular
30635511,source,PGS,regular
30635528,source,PGS,regular
30635532,source,PGS,regular
30635587,source,PGS,regular
30635620,source,PGS,regular
30635629,source,PGS,regular
30635630,source,PGS,regular
30635631,source,PGS,regular
30635650,source,PGS,regular
30635664,source,PGS,regular
30635666,source,PGS,regular
30635668,source,PGS,regular
30635698,source,PGS,regular
30635708,source,PGS,regular
30635710,source,PGS,regular
30635724,source,PGS,regular
30635730,source,PGS,regular
30635731,source,PGS,regular
30635741,source,PGS,regular
30635749,source,PGS,regular
30635752,source,PGS,regular
30635756,source,PGS,regular
30635760,source,PGS,regular
30635768,source,PGS,regular
30635770,source,PGS,regular
30635771,source,PGS,regular
30635777,source,PGS,regular
30635778,source,PGS,regular
30635789,source,PGS,regular
30635808,source,PGS,regular
30635815,source,PGS,regular
30635825,source,PGS,regular
30635829,source,PGS,regular
30635831,source,PGS,regular
30635835,source,PGS,regular
30635837,source,PGS,regular
30635842,source,PGS,regular
30635854,source,PGS,regular
30635871,source,PGS,regular
30635872,source,PGS,regular
